video_name,shooting_arm,S_avg_knee_bend,S_max_knee_bend,S_avg_body_lean,S_max_body_lean,S_min_body_lean,S_frame_count,R_avg_hip_angle,R_avg_knee_bend,R_avg_elbow_angle,R_max_wrist_height,R_avg_knee_velocity,R_frame_count,F_release_angle,F_elbow_above_eye,F_body_lean_angle,F_hip_angle,F_knee_angle,y
MISS-23.mov,RIGHT,158.88599804882125,154.47095247358305,6.384779729094393,6.571630348334259,6.082803640444879,6,173.59488127013842,176.03272392143427,127.06469915343872,2.22755428126094,105.23641061058696,3,45,-7.974488009841586,7.113186942089494,175.77670528469258,179.1963908010507,0
MISS-37.mov,RIGHT,145.13192971652973,138.82828270376456,11.800730581171097,13.752889453824084,6.975423285870605,12,167.46165781618652,159.8887445526052,139.55332374947193,4.21398787359704,130.3693565897612,4,67,7.30349360169969,5.076504422955476,172.94673951682324,166.29046001366152,0
MISS-8.mov,RIGHT,139.91288158010565,138.63344165757826,12.368609845430678,13.457632557354971,11.480659632390848,5,162.39282240474034,155.84038936662267,119.99973893244513,4.729610632607412,123.023420634364,9,65,9.721517090583593,3.1107583209129475,176.4438049481883,174.36018853359724,0
MISS-9.mov,RIGHT,141.04181565632584,138.40007690168096,13.334972713272954,14.333153608839504,12.33147957717543,6,162.6634513853754,154.79525928002016,125.59759137681608,4.618390853750435,112.8582972221373,9,64,8.974155055067635,1.637519828653699,177.0583742990326,171.27688299782395,0
MISS-36.mov,RIGHT,141.23558350989327,136.9404265944695,10.933355134413151,12.757546871273588,6.821394988521597,11,165.56198592778298,157.36371920466658,145.32237135395783,3.841048853127737,108.88969804495233,3,66,2.5543120235871686,6.017699678947122,168.96011315124227,160.7757924239638,0
MISS-22.mov,RIGHT,159.46213450416658,156.24111589931232,4.175879498537347,4.85871517121596,3.776899458286282,6,174.24825973777786,173.91702828207204,133.2083352749398,2.2100118387427408,116.78893644517842,3,45,-6.474287467046169,6.152827503874892,176.53837787003923,177.5437041265231,0
MISS-34.mov,RIGHT,120.81593984554576,115.5800522024428,5.46838486662719,7.587781130200719,3.6719109839007986,9,167.25100872151168,143.92850069518073,100.60333527401303,2.8907839548829166,166.9087441324934,10,39,-10.594490471091806,-1.3512714307382865,176.8984856678858,170.29825393737443,0
MISS-AD-9.mov,RIGHT,146.90884687614667,144.19008925454136,4.829804491534335,6.1801398286396045,2.6464018962881215,7,174.08369538642316,158.59478121618716,125.61973764252627,3.2527742080982684,94.43601225856924,7,48,0.0192737856149008,-3.348677342796116,177.94285671022786,167.84053314114573,0
MISS-AD-8.mov,RIGHT,146.2384144519916,144.8497149222325,2.6277096761499266,3.423767914179335,1.2323159745249634,6,173.27846942570218,155.88190781701647,105.7413543188784,2.5965018772622024,112.66281437238548,6,38,-12.595131868357146,-2.99646086372338,178.37421615042757,165.82972388791282,0
MISS-21.mov,RIGHT,164.67392498357177,158.65325805296453,6.398742950866072,7.387850110541004,5.216547686756219,6,176.1049163277343,178.23732612568813,142.20770598469844,2.2770665077500163,-8.055459521332011,3,47,-4.676715910223701,6.726360780926747,177.1697561324373,177.4506915095613,0
MISS-35.mov,RIGHT,122.62893558055308,116.84164004679678,13.082338003171204,14.777244875722962,9.77858771000878,11,161.48387741641892,142.4640095794506,94.53229215544904,2.786819481004809,124.37743445011048,13,39,-12.295644103503362,1.21480091682763,177.83951668622404,170.73911178972725,0
MISS-31.mov,RIGHT,124.58433107344848,115.93649815730336,7.968008281741615,9.849843929863438,5.316152282720056,8,164.5033546974472,141.48638931800494,99.63725533803957,2.8807298371299046,149.67813314787338,13,40,-13.033574828372585,-1.2932385650796416,173.0094599104684,176.9392927076274,0
MISS-25.mov,RIGHT,129.38248282336102,123.52979728409768,11.315683053275556,12.522891171207602,10.002920041665869,9,162.46624681258234,148.1223661988628,100.74897432156432,2.456347487158333,115.0531178007441,14,47,-9.956334234663611,1.932833814440525,178.19610038125128,174.77129446717225,0
MISS-18.mov,RIGHT,151.7990565806164,147.12934370971044,7.661558967795467,9.22696276047339,7.011644138048584,7,170.87524472000294,171.93260849578454,136.64091374822212,2.51577571509592,156.39294920809078,3,47,-4.312561525180888,7.498366873685237,173.46000548320765,176.85178566976413,0
MISS-24.mov,RIGHT,166.77229749987583,158.9586629594537,10.179023050836056,11.174042735595044,9.137679194458684,7,173.4940890989083,178.47723067406628,141.10357692379387,2.968194513229043,-4.006524401734595,3,48,-6.444221878964064,9.066984651937068,174.4680424667224,178.20713136121677,0
MISS-30.mov,RIGHT,124.18663430259176,119.6639183762027,6.5796863856111205,8.07400388768337,5.0961865013395835,9,168.80782039637072,142.89937056419083,98.99582204696792,2.4363268792974626,162.9877662202017,9,34,-16.398831301310153,0.178002372622979,178.92056172324055,166.40741618785125,0
MISS-26.mov,RIGHT,128.08446603952606,123.06089656771326,7.136828930363691,9.490295648626898,4.898270816080745,10,165.88875572505574,145.7412544967847,92.777204698763,2.244508477038573,122.23506766955374,13,38,-14.57076894082171,-0.2921702186621722,179.21045489644885,173.22837595955312,0
MISS-32.mov,RIGHT,129.07724790467236,124.32625302074877,9.356262385300074,10.404843016302866,8.706065904828318,8,166.02982570257726,146.12654742052783,103.07536956070398,2.394728869283365,121.98367068405076,12,44,-12.64511356779104,1.0741573126470048,179.0878775341613,171.86952979680814,0
